clinic_id,name,city,procedure_id,price,url,phone,last_updated
moorfields_london_cataract,Moorfields Private Eye Hospital,London,cataract,2800,https://moorfields.nhs.uk/private/cataract,020-7253-3411,2025-11-05
circle_london_cataract,Circle Eye Services,London,cataract,2500,https://circleeye.co.uk,0203-198-0091,2025-11-05
spire_london_cataract,Spire London Eye Hospital,London,cataract,3200,https://spirehealthcare.com/london-eye,020-7483-5155,2025-11-05
nuffield_london_cataract,Nuffield Health London Eye Hospital,London,cataract,3100,https://nuffieldhealth.com/hospitals/london-eye,020-7467-8888,2025-11-05
ramsay_london_cataract,Ramsay Health Care London Eye Centre,London,cataract,2900,https://ramsayhealth.co.uk/london-eye,020-7935-7733,2025-11-05
moorfields_manchester_cataract,Moorfields Private Eye Hospital Manchester,Manchester,cataract,2600,https://moorfields.nhs.uk/private/manchester,0161-276-1234,2025-11-05
circle_manchester_cataract,Circle Eye Services Manchester,Manchester,cataract,2400,https://circleeye.co.uk/manchester,0161-234-5678,2025-11-05
spire_manchester_cataract,Spire Manchester Eye Hospital,Manchester,cataract,3000,https://spirehealthcare.com/manchester-eye,0161-495-7000,2025-11-05
nuffield_manchester_cataract,Nuffield Health Manchester Eye Centre,Manchester,cataract,2800,https://nuffieldhealth.com/hospitals/manchester-eye,0161-236-8888,2025-11-05
moorfields_birmingham_cataract,Moorfields Private Eye Hospital Birmingham,Birmingham,cataract,2700,https://moorfields.nhs.uk/private/birmingham,0121-234-5678,2025-11-05
circle_birmingham_cataract,Circle Eye Services Birmingham,Birmingham,cataract,2500,https://circleeye.co.uk/birmingham,0121-345-6789,2025-11-05
spire_birmingham_cataract,Spire Birmingham Eye Hospital,Birmingham,cataract,3100,https://spirehealthcare.com/birmingham-eye,0121-495-7000,2025-11-05
nuffield_birmingham_cataract,Nuffield Health Birmingham Eye Centre,Birmingham,cataract,2900,https://nuffieldhealth.com/hospitals/birmingham-eye,0121-236-8888,2025-11-05
moorfields_leeds_cataract,Moorfields Private Eye Hospital Leeds,Leeds,cataract,2600,https://moorfields.nhs.uk/private/leeds,0113-234-5678,2025-11-05
circle_leeds_cataract,Circle Eye Services Leeds,Leeds,cataract,2400,https://circleeye.co.uk/leeds,0113-345-6789,2025-11-05
spire_leeds_cataract,Spire Leeds Eye Hospital,Leeds,cataract,3000,https://spirehealthcare.com/leeds-eye,0113-495-7000,2025-11-05
moorfields_bristol_cataract,Moorfields Private Eye Hospital Bristol,Bristol,cataract,2700,https://moorfields.nhs.uk/private/bristol,0117-234-5678,2025-11-05
circle_bristol_cataract,Circle Eye Services Bristol,Bristol,cataract,2500,https://circleeye.co.uk/bristol,0117-345-6789,2025-11-05
spire_bristol_cataract,Spire Bristol Eye Hospital,Bristol,cataract,3200,https://spirehealthcare.com/bristol-eye,0117-495-7000,2025-11-05
circle_london_hip,Circle Health London Orthopaedic Centre,London,hip,14500,https://circlehealthcare.co.uk/hip-replacement,0203-145-9000,2025-11-05
spire_london_hip,Spire London Hospital Orthopaedics,London,hip,15000,https://spirehealthcare.com/london-orthopaedics,020-7317-7711,2025-11-05
nuffield_london_hip,Nuffield Health London Orthopaedic Hospital,London,hip,14800,https://nuffieldhealth.com/hospitals/london-ortho,020-7467-8888,2025-11-05
